playerName,height,weight,birthDate,country,url,goals,shots,penalties,foulsReceived,offSides,foulsCommited,recoveries,passesCutOff,entrancesWon,duels,cards,passes,goalAssists,dribbles,corners,ballLosses
Ilias Akhomach,,,15 de abril de 2004 en Hostalets de Pierola,España,https://www.marca.com/resultados/futbol/jugadores/1c/56/ilias-akhomach/ficha/P500043.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estanislau Pedrola Fortuny,,,23 de agosto de 2003,España,https://www.marca.com/resultados/futbol/jugadores/9c/8e/estanis-pedrola/ficha/P551078.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thibaut Courtois,,,10 de mayo de 1992 en Bree,Bélgica,https://www.marca.com/resultados/futbol/jugadores/4f/0e/thibaut-courtois/ficha/P60772.html,0,2,0,645,120
Andriy Lunin,191 cm,80 kg,10 de febrero de 1999 en Krasnograd,Ucrania,https://www.marca.com/resultados/futbol/jugadores/e0/49/andriy-lunin/ficha/P224965.html,0,0,0,160,17
Luis Federico López Andúgar,192 cm,84 kg,7 de mayo de 2001,España,https://www.marca.com/resultados/futbol/jugadores/f0/b7/luis-lopez/ficha/P466118.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Cañizares,,,9 de mayo de 2002,España,https://www.marca.com/resultados/futbol/jugadores/3d/dd/lucas-canizares/ficha/P493337.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Piñeiro,,,12 de febrero de 2004 en Madrid,España,https://www.marca.com/resultados/futbol/jugadores/21/fb/diego-pineiro/ficha/P551487.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Carvajal,173 cm,73 kg,10 de enero de 1992 en Leganés,España,https://www.marca.com/resultados/futbol/jugadores/69/16/daniel-carvajal/ficha/P88483.html,0,4,0,12,4,15,94,13,918,16,95,4,2,5,40,190
Éder Gabriel Militão,186 cm,78 kg,17 de enero de 1998 en Sertãozinho,Brasil,https://www.marca.com/resultados/futbol/jugadores/1c/58/eder-militao/ficha/P218449.html,4,14,0,28,1,28,116,29,1193,23,184,3,0,10,8,181
David Alaba,180 cm,78 kg,23 de junio de 1992 en Wien,Austria,https://www.marca.com/resultados/futbol/jugadores/14/b2/david-alaba/ficha/P50188.html,1,10,0,3,0,8,80,14,978,11,53,3,3,3,26,144
Jesús Vallejo,184 cm,79 kg,4 de enero de 1997 en Zaragoza,España,https://www.marca.com/resultados/futbol/jugadores/bb/2a/jesus-vallejo/ficha/P178876.html,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0
José Ignacio Fernández Iglesias,180 cm,76 kg,17 de enero de 1990 en Madrid,España,https://www.marca.com/resultados/futbol/jugadores/b6/23/nacho/ficha/P88477.html,0,4,0,9,2,13,56,8,622,10,99,5,1,7,8,77
Álvaro Odriozola,176 cm,66 kg,13 de diciembre de 1995 en San Sebastián,España,https://www.marca.com/resultados/futbol/jugadores/51/2e/alvaro-odriozola/ficha/P201172.html,0,1,0,1,0,0,1,0,16,0,2,0,0,0,3,1
Antonio Rüdiger,190 cm,85 kg,2 de marzo de 1993 en Berlin,Alemania,https://www.marca.com/resultados/futbol/jugadores/30/8b/antonio-rudiger/ficha/P102380.html,1,12,0,4,1,7,107,13,1081,11,68,1,0,1,3,97
Ferland Mendy,180 cm,73 kg,7 de junio de 1995 en Meulan-En-Yvelines,Francia,https://www.marca.com/resultados/futbol/jugadores/ea/55/ferland-mendy/ficha/P206255.html,0,1,0,18,0,4,64,13,652,9,99,2,1,17,7,100
Vinícius Augusto Tobias da Silva,175 cm,66 kg,22 de febrero de 2004 en São Paulo,Brasil,https://www.marca.com/resultados/futbol/jugadores/ac/03/vinicius-augusto/ficha/P515340.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvelous Antolín Garzón,,,6 de enero de 2003,España,https://www.marca.com/resultados/futbol/jugadores/0e/56/marvel/ficha/P551468.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toni Kroos,183 cm,76 kg,3 de enero de 1990 en Greifswald,Alemania,https://www.marca.com/resultados/futbol/jugadores/64/77/toni-kroos/ficha/P44989.html,2,19,0,24,0,19,113,17,1653,22,137,1,3,4,94,184
Luka Modric,172 cm,66 kg,8 de septiembre de 1985 en Zadar,Croacia,https://www.marca.com/resultados/futbol/jugadores/05/4e/luka-modric/ficha/P37055.html,4,16,1,13,3,19,69,9,1116,6,118,6,3,15,53,204
Eduardo Camavinga,182 cm,68 kg,9 de noviembre de 2002 en Cabinda,Francia,https://www.marca.com/resultados/futbol/jugadores/f2/10/eduardo-camavinga/ficha/P475561.html,0,10,0,49,3,25,94,10,958,33,242,4,1,30,5,156
Federico Valverde,182 cm,78 kg,21 de julio de 1998 en Montevideo,Uruguay,https://www.marca.com/resultados/futbol/jugadores/30/00/federico-valverde/ficha/P223255.html,7,44,0,14,3,10,109,16,1274,19,144,2,2,27,23,213
Lucas Vázquez,173 cm,70 kg,30 de junio de 1991 en Curtis,España,https://www.marca.com/resultados/futbol/jugadores/97/bc/lucas-vazquez/ficha/P107593.html,3,9,0,8,2,13,37,6,444,17,67,1,0,7,22,88
Aurélien Tchouaméni,185 cm,80 kg,26 de enero de 2000 en Rouen,Francia,https://www.marca.com/resultados/futbol/jugadores/90/1b/aurelien-tchouameni/ficha/P219292.html,0,13,0,22,0,26,81,30,1115,28,183,1,3,17,7,108
Dani Ceballos,179 cm,70 kg,6 de agosto de 1996 en Utrera,España,https://www.marca.com/resultados/futbol/jugadores/86/7d/dani-ceballos/ficha/P182539.html,0,5,0,23,0,12,76,18,883,18,148,4,2,24,9,127
Mario Martín,,,4 de marzo de 2004,España,https://www.marca.com/resultados/futbol/jugadores/d3/80/mario-martin/ficha/P561243.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
